test_name,policy_mode,stream_id,l1_accesses,l1_hits,l1_misses,l2_accesses,l2_hits,l2_misses,l3_accesses,l3_hits,l3_misses,backing_accesses,allocated_l3_lines,cycles,retired,CPI,pass_fail
dynamic_ucp_long_stream1,mode0_l3_disabled,0,9,0,9,36,0,36,0,0,0,36,4,414,76,5.447,PASS
dynamic_ucp_long_stream1,mode0_l3_disabled,1,29,2,27,36,0,36,0,0,0,36,4,414,76,5.447,PASS
dynamic_ucp_long_stream1,mode1_l3_unpartitioned,0,9,0,9,36,0,36,9,4,5,12,4,438,76,5.763,PASS
dynamic_ucp_long_stream1,mode1_l3_unpartitioned,1,29,2,27,36,0,36,27,20,7,12,4,438,76,5.763,PASS
dynamic_ucp_long_stream1,mode2_l3_equal,0,9,0,9,36,0,36,9,2,7,20,4,502,76,6.605,PASS
dynamic_ucp_long_stream1,mode2_l3_equal,1,29,2,27,36,0,36,27,14,13,20,4,502,76,6.605,PASS
dynamic_ucp_long_stream1,mode3_l3_utility_fixed,0,9,0,9,36,0,36,9,6,3,30,6,582,76,7.658,PASS
dynamic_ucp_long_stream1,mode3_l3_utility_fixed,1,29,2,27,36,0,36,27,0,27,30,2,582,76,7.658,PASS
dynamic_ucp_long_stream1,mode4_dynamic_ucp,0,9,0,9,36,0,36,9,1,8,15,3,462,76,6.079,PASS
dynamic_ucp_long_stream1,mode4_dynamic_ucp,1,29,2,27,36,0,36,27,20,7,15,5,462,76,6.079,PASS
l3_reuse_after_l2_eviction,mode0_l3_disabled,0,5,0,5,8,0,8,0,0,0,8,4,96,16,6.000,PASS
l3_reuse_after_l2_eviction,mode0_l3_disabled,1,3,0,3,8,0,8,0,0,0,8,4,96,16,6.000,PASS
l3_reuse_after_l2_eviction,mode1_l3_unpartitioned,0,5,0,5,8,0,8,5,1,4,6,4,128,16,8.000,PASS
l3_reuse_after_l2_eviction,mode1_l3_unpartitioned,1,3,0,3,8,0,8,3,1,2,6,4,128,16,8.000,PASS
l3_reuse_after_l2_eviction,mode2_l3_equal,0,5,0,5,8,0,8,5,1,4,6,4,128,16,8.000,PASS
l3_reuse_after_l2_eviction,mode2_l3_equal,1,3,0,3,8,0,8,3,1,2,6,4,128,16,8.000,PASS
l3_reuse_after_l2_eviction,mode3_l3_utility_fixed,0,5,0,5,8,0,8,5,2,3,6,6,128,16,8.000,PASS
l3_reuse_after_l2_eviction,mode3_l3_utility_fixed,1,3,0,3,8,0,8,3,0,3,6,2,128,16,8.000,PASS
l3_reuse_after_l2_eviction,mode4_dynamic_ucp,0,5,0,5,8,0,8,5,1,4,6,4,128,16,8.000,PASS
l3_reuse_after_l2_eviction,mode4_dynamic_ucp,1,3,0,3,8,0,8,3,1,2,6,4,128,16,8.000,PASS
shared_l2_reuse,mode0_l3_disabled,0,3,0,3,6,2,4,0,0,0,4,4,66,12,5.500,PASS
shared_l2_reuse,mode0_l3_disabled,1,3,0,3,6,2,4,0,0,0,4,4,66,12,5.500,PASS
shared_l2_reuse,mode1_l3_unpartitioned,0,3,0,3,6,2,4,2,0,2,4,4,90,12,7.500,PASS
shared_l2_reuse,mode1_l3_unpartitioned,1,3,0,3,6,2,4,2,0,2,4,4,90,12,7.500,PASS
shared_l2_reuse,mode2_l3_equal,0,3,0,3,6,2,4,2,0,2,4,4,90,12,7.500,PASS
shared_l2_reuse,mode2_l3_equal,1,3,0,3,6,2,4,2,0,2,4,4,90,12,7.500,PASS
shared_l2_reuse,mode3_l3_utility_fixed,0,3,0,3,6,2,4,2,0,2,4,6,90,12,7.500,PASS
shared_l2_reuse,mode3_l3_utility_fixed,1,3,0,3,6,2,4,2,0,2,4,2,90,12,7.500,PASS
shared_l2_reuse,mode4_dynamic_ucp,0,3,0,3,6,2,4,2,0,2,4,4,90,12,7.500,PASS
shared_l2_reuse,mode4_dynamic_ucp,1,3,0,3,6,2,4,2,0,2,4,4,90,12,7.500,PASS
utility_pressure,mode0_l3_disabled,0,9,0,9,13,0,13,0,0,0,13,4,151,26,5.808,PASS
utility_pressure,mode0_l3_disabled,1,4,0,4,13,0,13,0,0,0,13,4,151,26,5.808,PASS
utility_pressure,mode1_l3_unpartitioned,0,9,0,9,13,0,13,9,4,5,8,4,189,26,7.269,PASS
utility_pressure,mode1_l3_unpartitioned,1,4,0,4,13,0,13,4,1,3,8,4,189,26,7.269,PASS
utility_pressure,mode2_l3_equal,0,9,0,9,13,0,13,9,2,7,10,4,205,26,7.885,PASS
utility_pressure,mode2_l3_equal,1,4,0,4,13,0,13,4,1,3,10,4,205,26,7.885,PASS
utility_pressure,mode3_l3_utility_fixed,0,9,0,9,13,0,13,9,6,3,7,6,181,26,6.962,PASS
utility_pressure,mode3_l3_utility_fixed,1,4,0,4,13,0,13,4,0,4,7,2,181,26,6.962,PASS
utility_pressure,mode4_dynamic_ucp,0,9,0,9,13,0,13,9,1,8,12,3,221,26,8.500,PASS
utility_pressure,mode4_dynamic_ucp,1,4,0,4,13,0,13,4,0,4,12,5,221,26,8.500,PASS
